bucket,reason,merchantName,expectedTitle,expectedOfficialUrl,finalUrl,httpStatus,pageTitle,h1,evidenceGiftKeyword,evidencePurchaseSignal,evidenceBadRole
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_GIFT_CARD_AND_PURCHASE_EVIDENCE","4 Sports","4 Sports Gift Card","https://4-sports.gr/gift-card/?v=bf391b589afb","https://4-sports.gr/gift-card/?v=d692bc40d834","200","Gift Card &#8211; 4-Sports","","true","true","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_GIFT_CARD_AND_PURCHASE_EVIDENCE","4seasons Beauty Institute","Δωροκάρτα - Χαλκίδα","https://www.4seasons-beauty-institute.gr/dorokarta/","https://www.4seasons-beauty-institute.gr/dorokarta/","200","Δωροκάρτα | 4 SEASONS Beauty Institute | Χαλκίδα","Δωροκάρτα","true","true","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_GIFT_CARD_AND_PURCHASE_EVIDENCE","Adore Beauty","Adore Beauty Gift Card","https://adore-beauty.gr/product/gift-card/","https://adore-beauty.gr/product/gift-card/","200","Gift Card | Adoras Beauty","","true","true","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_GIFT_CARD_AND_PURCHASE_EVIDENCE","Aetherjewelry","Aetherjewelry Gift Card","https://aetherjewelry.gr/gift-cards/","https://aetherjewelry.gr/gift-cards/","200","Αιθηρ","","true","true","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_GIFT_CARD_AND_PURCHASE_EVIDENCE","Afroditesbeaute","Afrodites Beaute Gift Card","https://afroditesbeaute.gr/product-category/%ce%b4%cf%89%cf%81%ce%bf%ce%ba%ce%b1%cf%81%cf%84%ce%b1/","https://afroditesbeaute.gr/product-category/%ce%b4%cf%89%cf%81%ce%bf%ce%ba%ce%b1%cf%81%cf%84%ce%b1/","200","Δωροκάρτα | Afrodite&#039;s Beaute","Δωροκάρτα","true","true","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_GIFT_CARD_AND_PURCHASE_EVIDENCE","Aleyacreations","Aleyacreations Gift Card","https://www.aleyacreations.gr/product-category/gift-card/","https://www.aleyacreations.gr/product-category/gift-card/","200","Gift card - Aleya Creations","Gift card","true","true","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_GIFT_CARD_AND_PURCHASE_EVIDENCE","Alkistijewelry","Alkistijewelry Gift Card","https://alkistijewelry.gr/products/gift-card","https://alkistijewelry.gr/products/gift-card","200","Gift Card","Gift Card","true","true","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_GIFT_CARD_AND_PURCHASE_EVIDENCE","Alldaypharmacy","Gift card - ΦΑΡΜΑΚΕΙΟ ΓΛΥΦΑΔΑ","https://alldaypharmacy.gr/shop/gift-card/","https://alldaypharmacy.gr/shop/gift-card/","200","Gift card - ΦΑΡΜΑΚΕΙΟ ΓΛΥΦΑΔΑ","","true","true","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_GIFT_CARD_AND_PURCHASE_EVIDENCE","Almarspa","Gift Card – Almar Spa","https://almarspa.gr/product/gift-card/","https://almarspa.gr/product/gift-card/","200","Gift Card &#8211; Almar Spa","Almar Spa & Hammam Gift Card","true","true","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_GIFT_CARD_AND_PURCHASE_EVIDENCE","Alohabeauty","Gift Card - Aloha Beauty","https://alohabeauty.gr/gift-card/","https://alohabeauty.gr/gift-card/","200","Gift Card","","true","true","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_GIFT_CARD_AND_PURCHASE_EVIDENCE","Alova","MISS KAY E-GIFT CARD","https://www.alova.gr/shop/beauty-boxes-gift-sets/e-gift-card/miss-kay-e-gift-card/","https://www.alova.gr/shop/beauty-boxes-gift-sets/e-gift-card/miss-kay-e-gift-card/","200","MISS KAY E-GIFT CARD - Alova","MISS KAY E-GIFT CARD","true","true","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_GIFT_CARD_AND_PURCHASE_EVIDENCE","Alpamayopro","Alpamayopro Gift Card","https://www.alpamayopro.gr/giftcard.html","https://www.alpamayopro.gr/giftcard.html","200","Gift card","Gift card","true","true","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_GIFT_CARD_AND_PURCHASE_EVIDENCE","Amourianosoptics","Amourianos Optics Gift Card 200€","https://amourianosoptics.gr/en/accessories-html/gift-cards.html","https://amourianosoptics.gr/en/accessories-html/gift-cards.html","200","GIFT CARDS - Accessories","GIFT CARDS","true","true","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_GIFT_CARD_AND_PURCHASE_EVIDENCE","Anastasia Beverly Hills","Anastasia Beverly Hills Gift Card","https://www.anastasiabeverlyhills.com/products/giftcard","https://www.anastasiabeverlyhills.com/products/giftcard","200","Anastasia Beverly Hills Gift Card","Anastasia Beverly Hills Gift Card","true","true","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_GIFT_CARD_AND_PURCHASE_EVIDENCE","Anastasiasstore","Gift Card | Δωροκάρτα για Γυναικεία Ρούχα & Παπούτσια","https://anastasiasstore.gr/product-category/gift-card/","https://anastasiasstore.gr/product-category/gift-card/","200","Gift Card | Δωροκάρτα για Γυναικεία Ρούχα & Παπούτσια","","true","true","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_GIFT_CARD_AND_PURCHASE_EVIDENCE","Andreoueshop","Andreoueshop Gift Card","https://andreoueshop.gr/product/gift-card/","https://andreoueshop.gr/product/gift-card/","200","Gift Card - andreoueshop","Gift Card","true","true","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_GIFT_CARD_AND_PURCHASE_EVIDENCE","Animusmassage","Gift certificate","https://animusmassage.gr/gift-card-2/","https://animusmassage.gr/gift-card-2/","200","Gift Card &#8212; Animus Massage","","true","true","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_GIFT_CARD_AND_PURCHASE_EVIDENCE","Annysresidences","Hotel Gift Card | Anny's Residence & Suites","https://annysresidences.gr/gift-card-annys/","https://annysresidences.gr/gift-card-annys/","200","Hotel Gift Card | Anny&#039;s Residence & Suites","Gift Card","true","true","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_GIFT_CARD_AND_PURCHASE_EVIDENCE","Anviacandles","ΔΩΡΟΚΑΡΤΑ","https://anviacandles.gr/shop/gift-card/gift-card/","https://anviacandles.gr/shop/gift-card/gift-card/","200","ΔΩΡΟΚΑΡΤΑ - ANVIA Candles & More","ΔΩΡΟΚΑΡΤΑ","true","true","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_GIFT_CARD_AND_PURCHASE_EVIDENCE","Ao Massage","Gift Card - Α-ω Massage Services","https://www.ao-massage.gr/en/gift-card/","https://www.ao-massage.gr/en/gift-card/","200","Gift Card - Α-ω Massage Services","GIFT CERTIFICATE","true","true","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_GIFT_CARD_AND_PURCHASE_EVIDENCE","Apparel Stores","Apparel Stores Gift Card","https://www.apparelstores.gr/products/e-gift-card","https://www.apparelstores.gr/products/e-gift-card","200","e-Gift Card &ndash; Apparel stores","e-Gift Card","true","true","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_GIFT_CARD_AND_PURCHASE_EVIDENCE","Atenea","eGift Card - Atenea","https://atenea.gr/products/gift-card","https://atenea.gr/products/gift-card","200","eGift Card &ndash; Atenea","eGift Card","true","true","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_GIFT_CARD_AND_PURCHASE_EVIDENCE","Athanasiakaritsa","Gift Card - Εργαστήριο Αισθητικής Αθανασία Καρύτσα","https://athanasiakaritsa.gr/gift-card/","https://athanasiakaritsa.gr/gift-card/","200","Gift Card | Εργαστήριο Αισθητικής Αθανασία Καρύτσα","","true","true","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_GIFT_CARD_AND_PURCHASE_EVIDENCE","Athensmassagecenter","Δώρο Μασάζ - Δωροκάρτες","https://athensmassagecenter.gr/gift-cards/","https://athensmassagecenter.gr/gift-cards/","200","Δώρο Μασάζ - Δωροκάρτες | Athens Massage Center","Δωροκάρτες Μασάζ","true","true","false"
